#bamPEFragmentSize
Size	Occurrences	Sample
29	1	CRAMP1_SANT_R1
30	2	CRAMP1_SANT_R1
31	2	CRAMP1_SANT_R1
32	2	CRAMP1_SANT_R1
34	9	CRAMP1_SANT_R1
35	6	CRAMP1_SANT_R1
36	2	CRAMP1_SANT_R1
37	3	CRAMP1_SANT_R1
38	5	CRAMP1_SANT_R1
39	9	CRAMP1_SANT_R1
40	4	CRAMP1_SANT_R1
41	7	CRAMP1_SANT_R1
42	6	CRAMP1_SANT_R1
43	7	CRAMP1_SANT_R1
44	8	CRAMP1_SANT_R1
45	2	CRAMP1_SANT_R1
46	7	CRAMP1_SANT_R1
47	5	CRAMP1_SANT_R1
48	10	CRAMP1_SANT_R1
49	12	CRAMP1_SANT_R1
50	8	CRAMP1_SANT_R1
51	14	CRAMP1_SANT_R1
52	19	CRAMP1_SANT_R1
53	10	CRAMP1_SANT_R1
54	14	CRAMP1_SANT_R1
55	11	CRAMP1_SANT_R1
56	17	CRAMP1_SANT_R1
57	13	CRAMP1_SANT_R1
58	12	CRAMP1_SANT_R1
59	15	CRAMP1_SANT_R1
60	14	CRAMP1_SANT_R1
61	13	CRAMP1_SANT_R1
62	12	CRAMP1_SANT_R1
63	13	CRAMP1_SANT_R1
64	19	CRAMP1_SANT_R1
65	11	CRAMP1_SANT_R1
66	13	CRAMP1_SANT_R1
67	12	CRAMP1_SANT_R1
68	16	CRAMP1_SANT_R1
69	20	CRAMP1_SANT_R1
70	17	CRAMP1_SANT_R1
71	13	CRAMP1_SANT_R1
72	10	CRAMP1_SANT_R1
73	18	CRAMP1_SANT_R1
74	12	CRAMP1_SANT_R1
75	13	CRAMP1_SANT_R1
76	18	CRAMP1_SANT_R1
77	14	CRAMP1_SANT_R1
78	11	CRAMP1_SANT_R1
79	16	CRAMP1_SANT_R1
80	14	CRAMP1_SANT_R1
81	16	CRAMP1_SANT_R1
82	8	CRAMP1_SANT_R1
83	10	CRAMP1_SANT_R1
84	12	CRAMP1_SANT_R1
85	8	CRAMP1_SANT_R1
86	16	CRAMP1_SANT_R1
87	13	CRAMP1_SANT_R1
88	21	CRAMP1_SANT_R1
89	14	CRAMP1_SANT_R1
90	10	CRAMP1_SANT_R1
91	17	CRAMP1_SANT_R1
92	11	CRAMP1_SANT_R1
93	14	CRAMP1_SANT_R1
94	14	CRAMP1_SANT_R1
95	10	CRAMP1_SANT_R1
96	11	CRAMP1_SANT_R1
97	13	CRAMP1_SANT_R1
98	21	CRAMP1_SANT_R1
99	10	CRAMP1_SANT_R1
100	21	CRAMP1_SANT_R1
101	15	CRAMP1_SANT_R1
102	12	CRAMP1_SANT_R1
103	8	CRAMP1_SANT_R1
104	11	CRAMP1_SANT_R1
105	11	CRAMP1_SANT_R1
106	10	CRAMP1_SANT_R1
107	11	CRAMP1_SANT_R1
108	14	CRAMP1_SANT_R1
109	10	CRAMP1_SANT_R1
110	14	CRAMP1_SANT_R1
111	12	CRAMP1_SANT_R1
112	13	CRAMP1_SANT_R1
113	10	CRAMP1_SANT_R1
114	14	CRAMP1_SANT_R1
115	12	CRAMP1_SANT_R1
116	8	CRAMP1_SANT_R1
117	9	CRAMP1_SANT_R1
118	10	CRAMP1_SANT_R1
119	9	CRAMP1_SANT_R1
120	8	CRAMP1_SANT_R1
121	11	CRAMP1_SANT_R1
122	8	CRAMP1_SANT_R1
123	15	CRAMP1_SANT_R1
124	14	CRAMP1_SANT_R1
125	6	CRAMP1_SANT_R1
126	9	CRAMP1_SANT_R1
127	9	CRAMP1_SANT_R1
128	14	CRAMP1_SANT_R1
129	5	CRAMP1_SANT_R1
130	9	CRAMP1_SANT_R1
131	10	CRAMP1_SANT_R1
132	7	CRAMP1_SANT_R1
133	11	CRAMP1_SANT_R1
134	15	CRAMP1_SANT_R1
135	15	CRAMP1_SANT_R1
136	9	CRAMP1_SANT_R1
137	7	CRAMP1_SANT_R1
138	11	CRAMP1_SANT_R1
139	4	CRAMP1_SANT_R1
140	8	CRAMP1_SANT_R1
141	4	CRAMP1_SANT_R1
142	7	CRAMP1_SANT_R1
143	10	CRAMP1_SANT_R1
144	7	CRAMP1_SANT_R1
145	11	CRAMP1_SANT_R1
146	11	CRAMP1_SANT_R1
147	7	CRAMP1_SANT_R1
148	7	CRAMP1_SANT_R1
149	6	CRAMP1_SANT_R1
150	10	CRAMP1_SANT_R1
151	6	CRAMP1_SANT_R1
152	3	CRAMP1_SANT_R1
153	12	CRAMP1_SANT_R1
154	4	CRAMP1_SANT_R1
155	5	CRAMP1_SANT_R1
156	7	CRAMP1_SANT_R1
157	7	CRAMP1_SANT_R1
158	7	CRAMP1_SANT_R1
159	8	CRAMP1_SANT_R1
160	4	CRAMP1_SANT_R1
161	9	CRAMP1_SANT_R1
162	5	CRAMP1_SANT_R1
163	5	CRAMP1_SANT_R1
164	9	CRAMP1_SANT_R1
165	8	CRAMP1_SANT_R1
166	6	CRAMP1_SANT_R1
167	6	CRAMP1_SANT_R1
168	4	CRAMP1_SANT_R1
169	6	CRAMP1_SANT_R1
170	7	CRAMP1_SANT_R1
171	9	CRAMP1_SANT_R1
172	3	CRAMP1_SANT_R1
173	4	CRAMP1_SANT_R1
174	5	CRAMP1_SANT_R1
175	5	CRAMP1_SANT_R1
176	6	CRAMP1_SANT_R1
177	5	CRAMP1_SANT_R1
178	9	CRAMP1_SANT_R1
179	3	CRAMP1_SANT_R1
180	4	CRAMP1_SANT_R1
181	3	CRAMP1_SANT_R1
182	7	CRAMP1_SANT_R1
183	3	CRAMP1_SANT_R1
