Sample	Yeast_Reads
CUTRUN_CRAMP1_GBN_rep1	
CUTRUN_CRAMP1_GBN_rep2	
CUTRUN_CRAMP1_GBN_rep3	
CUTRUN_CRAMP1_SANT_rep1	
CUTRUN_CRAMP1_SANT_rep2	
CUTRUN_CRAMP1_SANT_rep3	
CUTRUN_CRAMP1_WT_rep1	
CUTRUN_CRAMP1_WT_rep2	
CUTRUN_CRAMP1_WT_rep3	
