#bamPEFragmentSize
Size	Occurrences	Sample
22	1	CRAMP1_SANT_R2
25	3	CRAMP1_SANT_R2
26	2	CRAMP1_SANT_R2
27	2	CRAMP1_SANT_R2
28	2	CRAMP1_SANT_R2
29	2	CRAMP1_SANT_R2
30	2	CRAMP1_SANT_R2
31	3	CRAMP1_SANT_R2
32	3	CRAMP1_SANT_R2
33	6	CRAMP1_SANT_R2
34	7	CRAMP1_SANT_R2
35	9	CRAMP1_SANT_R2
36	6	CRAMP1_SANT_R2
37	12	CRAMP1_SANT_R2
38	13	CRAMP1_SANT_R2
39	14	CRAMP1_SANT_R2
40	10	CRAMP1_SANT_R2
41	11	CRAMP1_SANT_R2
42	9	CRAMP1_SANT_R2
43	11	CRAMP1_SANT_R2
44	6	CRAMP1_SANT_R2
45	16	CRAMP1_SANT_R2
46	12	CRAMP1_SANT_R2
47	16	CRAMP1_SANT_R2
48	30	CRAMP1_SANT_R2
49	17	CRAMP1_SANT_R2
50	17	CRAMP1_SANT_R2
51	25	CRAMP1_SANT_R2
52	24	CRAMP1_SANT_R2
53	17	CRAMP1_SANT_R2
54	12	CRAMP1_SANT_R2
55	30	CRAMP1_SANT_R2
56	23	CRAMP1_SANT_R2
57	18	CRAMP1_SANT_R2
58	17	CRAMP1_SANT_R2
59	23	CRAMP1_SANT_R2
60	31	CRAMP1_SANT_R2
61	27	CRAMP1_SANT_R2
62	16	CRAMP1_SANT_R2
63	12	CRAMP1_SANT_R2
64	28	CRAMP1_SANT_R2
65	12	CRAMP1_SANT_R2
66	15	CRAMP1_SANT_R2
67	14	CRAMP1_SANT_R2
68	21	CRAMP1_SANT_R2
69	22	CRAMP1_SANT_R2
70	25	CRAMP1_SANT_R2
71	14	CRAMP1_SANT_R2
72	5	CRAMP1_SANT_R2
73	13	CRAMP1_SANT_R2
74	20	CRAMP1_SANT_R2
75	12	CRAMP1_SANT_R2
76	14	CRAMP1_SANT_R2
77	23	CRAMP1_SANT_R2
78	11	CRAMP1_SANT_R2
79	30	CRAMP1_SANT_R2
80	20	CRAMP1_SANT_R2
81	19	CRAMP1_SANT_R2
82	12	CRAMP1_SANT_R2
83	17	CRAMP1_SANT_R2
