#bamPEFragmentSize
Size	Occurrences	Sample
198	7	CRAMP1_SANT_R3
199	7	CRAMP1_SANT_R3
200	6	CRAMP1_SANT_R3
201	6	CRAMP1_SANT_R3
202	4	CRAMP1_SANT_R3
203	4	CRAMP1_SANT_R3
204	4	CRAMP1_SANT_R3
205	7	CRAMP1_SANT_R3
206	4	CRAMP1_SANT_R3
207	4	CRAMP1_SANT_R3
208	7	CRAMP1_SANT_R3
209	1	CRAMP1_SANT_R3
210	6	CRAMP1_SANT_R3
211	7	CRAMP1_SANT_R3
212	4	CRAMP1_SANT_R3
213	1	CRAMP1_SANT_R3
214	2	CRAMP1_SANT_R3
215	2	CRAMP1_SANT_R3
216	3	CRAMP1_SANT_R3
217	2	CRAMP1_SANT_R3
218	5	CRAMP1_SANT_R3
219	2	CRAMP1_SANT_R3
220	2	CRAMP1_SANT_R3
221	4	CRAMP1_SANT_R3
222	3	CRAMP1_SANT_R3
223	5	CRAMP1_SANT_R3
224	1	CRAMP1_SANT_R3
225	1	CRAMP1_SANT_R3
226	2	CRAMP1_SANT_R3
227	2	CRAMP1_SANT_R3
228	3	CRAMP1_SANT_R3
229	1	CRAMP1_SANT_R3
231	1	CRAMP1_SANT_R3
232	2	CRAMP1_SANT_R3
233	4	CRAMP1_SANT_R3
235	2	CRAMP1_SANT_R3
236	2	CRAMP1_SANT_R3
237	1	CRAMP1_SANT_R3
238	2	CRAMP1_SANT_R3
239	1	CRAMP1_SANT_R3
240	1	CRAMP1_SANT_R3
241	2	CRAMP1_SANT_R3
242	2	CRAMP1_SANT_R3
244	2	CRAMP1_SANT_R3
246	3	CRAMP1_SANT_R3
247	2	CRAMP1_SANT_R3
248	1	CRAMP1_SANT_R3
252	1	CRAMP1_SANT_R3
254	1	CRAMP1_SANT_R3
255	1	CRAMP1_SANT_R3
258	1	CRAMP1_SANT_R3
259	1	CRAMP1_SANT_R3
260	2	CRAMP1_SANT_R3
261	2	CRAMP1_SANT_R3
262	2	CRAMP1_SANT_R3
263	1	CRAMP1_SANT_R3
264	2	CRAMP1_SANT_R3
269	1	CRAMP1_SANT_R3
273	1	CRAMP1_SANT_R3
277	1	CRAMP1_SANT_R3
278	1	CRAMP1_SANT_R3
279	1	CRAMP1_SANT_R3
282	1	CRAMP1_SANT_R3
284	1	CRAMP1_SANT_R3
287	1	CRAMP1_SANT_R3
297	1	CRAMP1_SANT_R3
299	1	CRAMP1_SANT_R3
300	1	CRAMP1_SANT_R3
305	1	CRAMP1_SANT_R3
309	1	CRAMP1_SANT_R3
310	1	CRAMP1_SANT_R3
311	3	CRAMP1_SANT_R3
314	1	CRAMP1_SANT_R3
315	1	CRAMP1_SANT_R3
317	2	CRAMP1_SANT_R3
320	1	CRAMP1_SANT_R3
321	1	CRAMP1_SANT_R3
325	1	CRAMP1_SANT_R3
333	1	CRAMP1_SANT_R3
337	1	CRAMP1_SANT_R3
340	1	CRAMP1_SANT_R3
341	1	CRAMP1_SANT_R3
344	1	CRAMP1_SANT_R3
345	1	CRAMP1_SANT_R3
348	2	CRAMP1_SANT_R3
352	1	CRAMP1_SANT_R3
354	1	CRAMP1_SANT_R3
361	2	CRAMP1_SANT_R3
362	1	CRAMP1_SANT_R3
373	1	CRAMP1_SANT_R3
374	1	CRAMP1_SANT_R3
384	3	CRAMP1_SANT_R3
390	1	CRAMP1_SANT_R3
396	1	CRAMP1_SANT_R3
398	1	CRAMP1_SANT_R3
399	1	CRAMP1_SANT_R3
402	1	CRAMP1_SANT_R3
403	1	CRAMP1_SANT_R3
415	1	CRAMP1_SANT_R3
423	2	CRAMP1_SANT_R3
424	2	CRAMP1_SANT_R3
427	1	CRAMP1_SANT_R3
435	1	CRAMP1_SANT_R3
437	1	CRAMP1_SANT_R3
443	1	CRAMP1_SANT_R3
460	1	CRAMP1_SANT_R3
471	1	CRAMP1_SANT_R3
488	1	CRAMP1_SANT_R3
495	1	CRAMP1_SANT_R3
510	1	CRAMP1_SANT_R3
539	1	CRAMP1_SANT_R3
541	1	CRAMP1_SANT_R3
580	1	CRAMP1_SANT_R3
581	1	CRAMP1_SANT_R3
