#bamPEFragmentSize
Size	Occurrences	Sample
22	1	CRAMP1_D1_R3
24	2	CRAMP1_D1_R3
25	3	CRAMP1_D1_R3
26	4	CRAMP1_D1_R3
27	2	CRAMP1_D1_R3
28	1	CRAMP1_D1_R3
29	3	CRAMP1_D1_R3
30	4	CRAMP1_D1_R3
31	2	CRAMP1_D1_R3
32	4	CRAMP1_D1_R3
33	5	CRAMP1_D1_R3
34	5	CRAMP1_D1_R3
35	8	CRAMP1_D1_R3
36	8	CRAMP1_D1_R3
37	14	CRAMP1_D1_R3
38	14	CRAMP1_D1_R3
39	9	CRAMP1_D1_R3
40	14	CRAMP1_D1_R3
41	10	CRAMP1_D1_R3
42	10	CRAMP1_D1_R3
43	8	CRAMP1_D1_R3
44	12	CRAMP1_D1_R3
45	15	CRAMP1_D1_R3
46	9	CRAMP1_D1_R3
47	14	CRAMP1_D1_R3
48	20	CRAMP1_D1_R3
49	16	CRAMP1_D1_R3
50	17	CRAMP1_D1_R3
51	20	CRAMP1_D1_R3
52	17	CRAMP1_D1_R3
53	12	CRAMP1_D1_R3
54	14	CRAMP1_D1_R3
55	19	CRAMP1_D1_R3
56	18	CRAMP1_D1_R3
57	15	CRAMP1_D1_R3
58	20	CRAMP1_D1_R3
59	22	CRAMP1_D1_R3
60	22	CRAMP1_D1_R3
61	24	CRAMP1_D1_R3
62	13	CRAMP1_D1_R3
63	18	CRAMP1_D1_R3
64	14	CRAMP1_D1_R3
65	17	CRAMP1_D1_R3
66	17	CRAMP1_D1_R3
67	18	CRAMP1_D1_R3
68	20	CRAMP1_D1_R3
69	14	CRAMP1_D1_R3
70	16	CRAMP1_D1_R3
71	14	CRAMP1_D1_R3
72	13	CRAMP1_D1_R3
73	9	CRAMP1_D1_R3
74	7	CRAMP1_D1_R3
75	15	CRAMP1_D1_R3
76	14	CRAMP1_D1_R3
77	13	CRAMP1_D1_R3
78	9	CRAMP1_D1_R3
79	16	CRAMP1_D1_R3
80	17	CRAMP1_D1_R3
81	17	CRAMP1_D1_R3
82	12	CRAMP1_D1_R3
83	9	CRAMP1_D1_R3
84	9	CRAMP1_D1_R3
85	11	CRAMP1_D1_R3
86	10	CRAMP1_D1_R3
87	9	CRAMP1_D1_R3
88	17	CRAMP1_D1_R3
89	13	CRAMP1_D1_R3
90	12	CRAMP1_D1_R3
91	16	CRAMP1_D1_R3
92	10	CRAMP1_D1_R3
93	6	CRAMP1_D1_R3
94	11	CRAMP1_D1_R3
95	12	CRAMP1_D1_R3
96	8	CRAMP1_D1_R3
97	10	CRAMP1_D1_R3
98	12	CRAMP1_D1_R3
99	13	CRAMP1_D1_R3
100	10	CRAMP1_D1_R3
101	11	CRAMP1_D1_R3
102	7	CRAMP1_D1_R3
103	8	CRAMP1_D1_R3
104	12	CRAMP1_D1_R3
105	9	CRAMP1_D1_R3
106	7	CRAMP1_D1_R3
107	9	CRAMP1_D1_R3
108	12	CRAMP1_D1_R3
109	18	CRAMP1_D1_R3
110	16	CRAMP1_D1_R3
111	16	CRAMP1_D1_R3
112	17	CRAMP1_D1_R3
113	11	CRAMP1_D1_R3
114	7	CRAMP1_D1_R3
115	10	CRAMP1_D1_R3
116	9	CRAMP1_D1_R3
117	11	CRAMP1_D1_R3
118	13	CRAMP1_D1_R3
119	13	CRAMP1_D1_R3
120	15	CRAMP1_D1_R3
121	15	CRAMP1_D1_R3
122	12	CRAMP1_D1_R3
123	9	CRAMP1_D1_R3
124	8	CRAMP1_D1_R3
125	11	CRAMP1_D1_R3
126	8	CRAMP1_D1_R3
127	9	CRAMP1_D1_R3
128	8	CRAMP1_D1_R3
129	8	CRAMP1_D1_R3
130	12	CRAMP1_D1_R3
131	4	CRAMP1_D1_R3
132	6	CRAMP1_D1_R3
133	5	CRAMP1_D1_R3
134	9	CRAMP1_D1_R3
135	8	CRAMP1_D1_R3
136	9	CRAMP1_D1_R3
137	7	CRAMP1_D1_R3
138	14	CRAMP1_D1_R3
139	10	CRAMP1_D1_R3
140	5	CRAMP1_D1_R3
141	9	CRAMP1_D1_R3
142	10	CRAMP1_D1_R3
143	14	CRAMP1_D1_R3
144	3	CRAMP1_D1_R3
145	11	CRAMP1_D1_R3
146	5	CRAMP1_D1_R3
147	6	CRAMP1_D1_R3
148	9	CRAMP1_D1_R3
149	7	CRAMP1_D1_R3
150	8	CRAMP1_D1_R3
151	8	CRAMP1_D1_R3
