#bamPEFragmentSize
Size	Occurrences	Sample
25	1	GFP_R1
26	4	GFP_R1
27	1	GFP_R1
28	3	GFP_R1
29	5	GFP_R1
30	5	GFP_R1
31	4	GFP_R1
32	5	GFP_R1
33	3	GFP_R1
34	9	GFP_R1
35	5	GFP_R1
36	6	GFP_R1
37	16	GFP_R1
38	20	GFP_R1
39	16	GFP_R1
40	13	GFP_R1
41	7	GFP_R1
42	4	GFP_R1
43	9	GFP_R1
44	10	GFP_R1
45	18	GFP_R1
46	13	GFP_R1
47	17	GFP_R1
48	21	GFP_R1
49	31	GFP_R1
50	24	GFP_R1
51	19	GFP_R1
52	16	GFP_R1
53	17	GFP_R1
54	17	GFP_R1
55	23	GFP_R1
56	21	GFP_R1
57	28	GFP_R1
58	49	GFP_R1
59	27	GFP_R1
60	36	GFP_R1
61	33	GFP_R1
62	25	GFP_R1
63	22	GFP_R1
64	21	GFP_R1
65	41	GFP_R1
66	19	GFP_R1
67	28	GFP_R1
68	39	GFP_R1
69	49	GFP_R1
70	37	GFP_R1
71	31	GFP_R1
72	29	GFP_R1
73	20	GFP_R1
74	30	GFP_R1
75	28	GFP_R1
76	30	GFP_R1
77	26	GFP_R1
78	39	GFP_R1
79	50	GFP_R1
80	48	GFP_R1
81	37	GFP_R1
82	26	GFP_R1
83	17	GFP_R1
84	28	GFP_R1
85	21	GFP_R1
86	23	GFP_R1
87	30	GFP_R1
88	31	GFP_R1
89	47	GFP_R1
90	60	GFP_R1
91	45	GFP_R1
92	28	GFP_R1
93	33	GFP_R1
94	25	GFP_R1
95	22	GFP_R1
96	34	GFP_R1
97	36	GFP_R1
98	27	GFP_R1
99	39	GFP_R1
100	39	GFP_R1
101	37	GFP_R1
102	34	GFP_R1
103	33	GFP_R1
104	27	GFP_R1
105	26	GFP_R1
106	29	GFP_R1
107	38	GFP_R1
108	30	GFP_R1
109	34	GFP_R1
110	47	GFP_R1
111	50	GFP_R1
112	28	GFP_R1
113	39	GFP_R1
114	35	GFP_R1
115	31	GFP_R1
116	30	GFP_R1
117	27	GFP_R1
118	40	GFP_R1
119	38	GFP_R1
120	40	GFP_R1
121	34	GFP_R1
122	33	GFP_R1
123	24	GFP_R1
124	15	GFP_R1
125	29	GFP_R1
126	26	GFP_R1
127	25	GFP_R1
128	20	GFP_R1
129	27	GFP_R1
130	27	GFP_R1
131	21	GFP_R1
132	23	GFP_R1
133	32	GFP_R1
134	27	GFP_R1
135	18	GFP_R1
136	21	GFP_R1
137	20	GFP_R1
138	30	GFP_R1
139	25	GFP_R1
140	29	GFP_R1
141	26	GFP_R1
142	21	GFP_R1
143	21	GFP_R1
144	15	GFP_R1
145	14	GFP_R1
146	17	GFP_R1
147	17	GFP_R1
148	16	GFP_R1
149	11	GFP_R1
150	13	GFP_R1
151	14	GFP_R1
152	16	GFP_R1
153	10	GFP_R1
154	8	GFP_R1
155	15	GFP_R1
156	10	GFP_R1
157	17	GFP_R1
158	12	GFP_R1
159	12	GFP_R1
160	16	GFP_R1
161	6	GFP_R1
162	8	GFP_R1
163	9	GFP_R1
164	10	GFP_R1
165	9	GFP_R1
166	10	GFP_R1
167	9	GFP_R1
168	12	GFP_R1
169	9	GFP_R1
170	11	GFP_R1
171	13	GFP_R1
172	11	GFP_R1
173	13	GFP_R1
174	10	GFP_R1
175	3	GFP_R1
176	3	GFP_R1
177	4	GFP_R1
178	8	GFP_R1
179	7	GFP_R1
180	12	GFP_R1
181	5	GFP_R1
182	3	GFP_R1
183	4	GFP_R1
184	6	GFP_R1
185	3	GFP_R1
186	2	GFP_R1
187	4	GFP_R1
188	2	GFP_R1
189	3	GFP_R1
190	4	GFP_R1
191	7	GFP_R1
192	3	GFP_R1
193	2	GFP_R1
194	1	GFP_R1
195	3	GFP_R1
196	2	GFP_R1
197	3	GFP_R1
198	2	GFP_R1
199	6	GFP_R1
200	4	GFP_R1
201	2	GFP_R1
202	4	GFP_R1
203	7	GFP_R1
204	2	GFP_R1
205	3	GFP_R1
206	3	GFP_R1
207	2	GFP_R1
208	4	GFP_R1
209	3	GFP_R1
210	3	GFP_R1
211	1	GFP_R1
213	1	GFP_R1
214	3	GFP_R1
215	2	GFP_R1
217	2	GFP_R1
218	1	GFP_R1
220	2	GFP_R1
222	2	GFP_R1
223	2	GFP_R1
225	1	GFP_R1
226	1	GFP_R1
228	2	GFP_R1
229	3	GFP_R1
230	1	GFP_R1
234	2	GFP_R1
235	1	GFP_R1
236	2	GFP_R1
238	1	GFP_R1
239	1	GFP_R1
240	1	GFP_R1
241	2	GFP_R1
243	1	GFP_R1
248	2	GFP_R1
252	1	GFP_R1
253	1	GFP_R1
257	1	GFP_R1
261	1	GFP_R1
262	1	GFP_R1
264	2	GFP_R1
265	1	GFP_R1
267	1	GFP_R1
268	2	GFP_R1
271	1	GFP_R1
272	1	GFP_R1
274	1	GFP_R1
280	1	GFP_R1
293	1	GFP_R1
300	1	GFP_R1
306	1	GFP_R1
311	1	GFP_R1
312	2	GFP_R1
315	1	GFP_R1
316	1	GFP_R1
326	1	GFP_R1
331	1	GFP_R1
332	1	GFP_R1
349	2	GFP_R1
359	1	GFP_R1
363	1	GFP_R1
368	1	GFP_R1
388	1	GFP_R1
404	1	GFP_R1
443	1	GFP_R1
455	1	GFP_R1
460	1	GFP_R1
542	1	GFP_R1
