#bamPEFragmentSize
Size	Occurrences	Sample
214	1	CRAMP1_D1_R2
215	4	CRAMP1_D1_R2
216	6	CRAMP1_D1_R2
217	5	CRAMP1_D1_R2
218	4	CRAMP1_D1_R2
219	4	CRAMP1_D1_R2
220	2	CRAMP1_D1_R2
221	6	CRAMP1_D1_R2
222	6	CRAMP1_D1_R2
223	6	CRAMP1_D1_R2
224	5	CRAMP1_D1_R2
225	3	CRAMP1_D1_R2
226	1	CRAMP1_D1_R2
227	1	CRAMP1_D1_R2
228	7	CRAMP1_D1_R2
229	4	CRAMP1_D1_R2
230	4	CRAMP1_D1_R2
231	7	CRAMP1_D1_R2
232	1	CRAMP1_D1_R2
233	4	CRAMP1_D1_R2
234	3	CRAMP1_D1_R2
235	2	CRAMP1_D1_R2
236	2	CRAMP1_D1_R2
237	2	CRAMP1_D1_R2
238	1	CRAMP1_D1_R2
239	4	CRAMP1_D1_R2
240	5	CRAMP1_D1_R2
241	2	CRAMP1_D1_R2
243	1	CRAMP1_D1_R2
245	2	CRAMP1_D1_R2
246	4	CRAMP1_D1_R2
247	1	CRAMP1_D1_R2
248	1	CRAMP1_D1_R2
249	1	CRAMP1_D1_R2
250	1	CRAMP1_D1_R2
251	2	CRAMP1_D1_R2
253	4	CRAMP1_D1_R2
254	1	CRAMP1_D1_R2
255	2	CRAMP1_D1_R2
256	2	CRAMP1_D1_R2
257	1	CRAMP1_D1_R2
260	2	CRAMP1_D1_R2
261	1	CRAMP1_D1_R2
262	1	CRAMP1_D1_R2
263	3	CRAMP1_D1_R2
267	1	CRAMP1_D1_R2
270	1	CRAMP1_D1_R2
272	1	CRAMP1_D1_R2
276	2	CRAMP1_D1_R2
278	1	CRAMP1_D1_R2
279	1	CRAMP1_D1_R2
280	1	CRAMP1_D1_R2
282	1	CRAMP1_D1_R2
283	1	CRAMP1_D1_R2
284	2	CRAMP1_D1_R2
285	2	CRAMP1_D1_R2
289	2	CRAMP1_D1_R2
290	1	CRAMP1_D1_R2
297	1	CRAMP1_D1_R2
298	1	CRAMP1_D1_R2
299	1	CRAMP1_D1_R2
302	2	CRAMP1_D1_R2
303	1	CRAMP1_D1_R2
305	1	CRAMP1_D1_R2
307	1	CRAMP1_D1_R2
308	2	CRAMP1_D1_R2
309	2	CRAMP1_D1_R2
310	1	CRAMP1_D1_R2
313	1	CRAMP1_D1_R2
318	1	CRAMP1_D1_R2
319	2	CRAMP1_D1_R2
321	1	CRAMP1_D1_R2
334	1	CRAMP1_D1_R2
337	1	CRAMP1_D1_R2
343	1	CRAMP1_D1_R2
344	1	CRAMP1_D1_R2
347	2	CRAMP1_D1_R2
357	1	CRAMP1_D1_R2
361	1	CRAMP1_D1_R2
362	1	CRAMP1_D1_R2
363	1	CRAMP1_D1_R2
379	1	CRAMP1_D1_R2
384	1	CRAMP1_D1_R2
394	1	CRAMP1_D1_R2
395	2	CRAMP1_D1_R2
398	1	CRAMP1_D1_R2
441	1	CRAMP1_D1_R2
525	1	CRAMP1_D1_R2
