#bamPEFragmentSize
Size	Occurrences	Sample
22	1	CRAMP1_WT_R2
24	3	CRAMP1_WT_R2
25	1	CRAMP1_WT_R2
26	5	CRAMP1_WT_R2
27	1	CRAMP1_WT_R2
28	1	CRAMP1_WT_R2
29	3	CRAMP1_WT_R2
30	4	CRAMP1_WT_R2
31	1	CRAMP1_WT_R2
32	6	CRAMP1_WT_R2
33	10	CRAMP1_WT_R2
34	8	CRAMP1_WT_R2
35	11	CRAMP1_WT_R2
36	17	CRAMP1_WT_R2
37	13	CRAMP1_WT_R2
38	18	CRAMP1_WT_R2
39	16	CRAMP1_WT_R2
40	7	CRAMP1_WT_R2
41	15	CRAMP1_WT_R2
42	12	CRAMP1_WT_R2
43	13	CRAMP1_WT_R2
44	13	CRAMP1_WT_R2
45	18	CRAMP1_WT_R2
46	16	CRAMP1_WT_R2
47	22	CRAMP1_WT_R2
48	40	CRAMP1_WT_R2
49	39	CRAMP1_WT_R2
50	31	CRAMP1_WT_R2
51	30	CRAMP1_WT_R2
52	21	CRAMP1_WT_R2
53	21	CRAMP1_WT_R2
54	21	CRAMP1_WT_R2
55	15	CRAMP1_WT_R2
56	22	CRAMP1_WT_R2
57	29	CRAMP1_WT_R2
58	50	CRAMP1_WT_R2
59	50	CRAMP1_WT_R2
60	37	CRAMP1_WT_R2
61	33	CRAMP1_WT_R2
62	44	CRAMP1_WT_R2
63	36	CRAMP1_WT_R2
64	35	CRAMP1_WT_R2
65	31	CRAMP1_WT_R2
66	31	CRAMP1_WT_R2
67	38	CRAMP1_WT_R2
68	54	CRAMP1_WT_R2
69	59	CRAMP1_WT_R2
70	54	CRAMP1_WT_R2
71	35	CRAMP1_WT_R2
72	32	CRAMP1_WT_R2
73	27	CRAMP1_WT_R2
74	41	CRAMP1_WT_R2
75	29	CRAMP1_WT_R2
76	37	CRAMP1_WT_R2
77	35	CRAMP1_WT_R2
78	55	CRAMP1_WT_R2
79	68	CRAMP1_WT_R2
80	60	CRAMP1_WT_R2
81	41	CRAMP1_WT_R2
82	41	CRAMP1_WT_R2
83	34	CRAMP1_WT_R2
84	31	CRAMP1_WT_R2
85	39	CRAMP1_WT_R2
86	22	CRAMP1_WT_R2
87	25	CRAMP1_WT_R2
88	38	CRAMP1_WT_R2
89	42	CRAMP1_WT_R2
90	47	CRAMP1_WT_R2
91	44	CRAMP1_WT_R2
