#bamPEFragmentSize
Size	Occurrences	Sample
22	4	CRAMP1_D1_R1
23	7	CRAMP1_D1_R1
24	6	CRAMP1_D1_R1
25	9	CRAMP1_D1_R1
26	8	CRAMP1_D1_R1
27	10	CRAMP1_D1_R1
28	23	CRAMP1_D1_R1
29	16	CRAMP1_D1_R1
30	15	CRAMP1_D1_R1
31	12	CRAMP1_D1_R1
32	13	CRAMP1_D1_R1
33	11	CRAMP1_D1_R1
34	22	CRAMP1_D1_R1
35	22	CRAMP1_D1_R1
36	20	CRAMP1_D1_R1
37	28	CRAMP1_D1_R1
38	43	CRAMP1_D1_R1
39	37	CRAMP1_D1_R1
40	27	CRAMP1_D1_R1
41	27	CRAMP1_D1_R1
42	22	CRAMP1_D1_R1
43	20	CRAMP1_D1_R1
44	35	CRAMP1_D1_R1
45	29	CRAMP1_D1_R1
46	24	CRAMP1_D1_R1
47	38	CRAMP1_D1_R1
48	60	CRAMP1_D1_R1
49	39	CRAMP1_D1_R1
50	35	CRAMP1_D1_R1
51	28	CRAMP1_D1_R1
52	32	CRAMP1_D1_R1
53	31	CRAMP1_D1_R1
54	28	CRAMP1_D1_R1
55	43	CRAMP1_D1_R1
56	37	CRAMP1_D1_R1
57	53	CRAMP1_D1_R1
58	58	CRAMP1_D1_R1
59	76	CRAMP1_D1_R1
60	62	CRAMP1_D1_R1
61	51	CRAMP1_D1_R1
62	22	CRAMP1_D1_R1
63	32	CRAMP1_D1_R1
64	43	CRAMP1_D1_R1
65	44	CRAMP1_D1_R1
66	48	CRAMP1_D1_R1
67	45	CRAMP1_D1_R1
68	59	CRAMP1_D1_R1
69	71	CRAMP1_D1_R1
70	43	CRAMP1_D1_R1
71	36	CRAMP1_D1_R1
72	33	CRAMP1_D1_R1
73	27	CRAMP1_D1_R1
74	30	CRAMP1_D1_R1
75	28	CRAMP1_D1_R1
76	55	CRAMP1_D1_R1
77	51	CRAMP1_D1_R1
78	68	CRAMP1_D1_R1
79	66	CRAMP1_D1_R1
80	53	CRAMP1_D1_R1
81	51	CRAMP1_D1_R1
82	32	CRAMP1_D1_R1
83	36	CRAMP1_D1_R1
84	50	CRAMP1_D1_R1
85	33	CRAMP1_D1_R1
86	44	CRAMP1_D1_R1
87	29	CRAMP1_D1_R1
88	34	CRAMP1_D1_R1
89	47	CRAMP1_D1_R1
90	50	CRAMP1_D1_R1
91	49	CRAMP1_D1_R1
92	31	CRAMP1_D1_R1
93	28	CRAMP1_D1_R1
94	28	CRAMP1_D1_R1
95	32	CRAMP1_D1_R1
96	29	CRAMP1_D1_R1
97	29	CRAMP1_D1_R1
98	37	CRAMP1_D1_R1
99	36	CRAMP1_D1_R1
100	57	CRAMP1_D1_R1
101	48	CRAMP1_D1_R1
102	42	CRAMP1_D1_R1
103	38	CRAMP1_D1_R1
104	42	CRAMP1_D1_R1
105	25	CRAMP1_D1_R1
106	32	CRAMP1_D1_R1
107	31	CRAMP1_D1_R1
108	36	CRAMP1_D1_R1
109	43	CRAMP1_D1_R1
110	49	CRAMP1_D1_R1
111	47	CRAMP1_D1_R1
112	40	CRAMP1_D1_R1
113	33	CRAMP1_D1_R1
114	22	CRAMP1_D1_R1
115	27	CRAMP1_D1_R1
116	38	CRAMP1_D1_R1
117	35	CRAMP1_D1_R1
118	27	CRAMP1_D1_R1
119	40	CRAMP1_D1_R1
120	33	CRAMP1_D1_R1
121	28	CRAMP1_D1_R1
122	30	CRAMP1_D1_R1
123	25	CRAMP1_D1_R1
124	24	CRAMP1_D1_R1
125	26	CRAMP1_D1_R1
126	28	CRAMP1_D1_R1
127	26	CRAMP1_D1_R1
128	29	CRAMP1_D1_R1
129	24	CRAMP1_D1_R1
130	27	CRAMP1_D1_R1
131	20	CRAMP1_D1_R1
132	21	CRAMP1_D1_R1
133	28	CRAMP1_D1_R1
