#bamPEFragmentSize
Size	Occurrences	Sample
22	1	GFP_R2
23	1	GFP_R2
25	1	GFP_R2
27	1	GFP_R2
28	1	GFP_R2
29	2	GFP_R2
30	3	GFP_R2
31	1	GFP_R2
32	5	GFP_R2
33	4	GFP_R2
34	3	GFP_R2
35	9	GFP_R2
36	6	GFP_R2
37	9	GFP_R2
38	11	GFP_R2
39	12	GFP_R2
40	10	GFP_R2
41	8	GFP_R2
42	9	GFP_R2
43	5	GFP_R2
44	6	GFP_R2
45	11	GFP_R2
46	9	GFP_R2
47	20	GFP_R2
48	19	GFP_R2
49	14	GFP_R2
50	21	GFP_R2
51	17	GFP_R2
52	10	GFP_R2
53	19	GFP_R2
54	12	GFP_R2
55	6	GFP_R2
56	14	GFP_R2
57	14	GFP_R2
58	23	GFP_R2
59	33	GFP_R2
60	24	GFP_R2
61	22	GFP_R2
62	22	GFP_R2
63	14	GFP_R2
64	20	GFP_R2
65	14	GFP_R2
66	24	GFP_R2
67	22	GFP_R2
68	26	GFP_R2
69	31	GFP_R2
70	24	GFP_R2
71	29	GFP_R2
72	20	GFP_R2
73	19	GFP_R2
74	19	GFP_R2
75	17	GFP_R2
76	17	GFP_R2
77	25	GFP_R2
78	21	GFP_R2
79	14	GFP_R2
80	27	GFP_R2
81	25	GFP_R2
82	21	GFP_R2
83	20	GFP_R2
84	24	GFP_R2
85	12	GFP_R2
86	23	GFP_R2
87	26	GFP_R2
88	30	GFP_R2
89	34	GFP_R2
90	39	GFP_R2
91	37	GFP_R2
92	25	GFP_R2
93	31	GFP_R2
94	22	GFP_R2
95	20	GFP_R2
96	27	GFP_R2
97	22	GFP_R2
98	30	GFP_R2
99	24	GFP_R2
100	35	GFP_R2
101	22	GFP_R2
102	36	GFP_R2
103	27	GFP_R2
104	28	GFP_R2
105	18	GFP_R2
106	16	GFP_R2
107	23	GFP_R2
108	29	GFP_R2
109	37	GFP_R2
110	28	GFP_R2
111	36	GFP_R2
112	29	GFP_R2
113	26	GFP_R2
114	22	GFP_R2
115	21	GFP_R2
116	25	GFP_R2
117	32	GFP_R2
118	25	GFP_R2
119	27	GFP_R2
120	17	GFP_R2
121	25	GFP_R2
122	23	GFP_R2
123	30	GFP_R2
124	21	GFP_R2
125	14	GFP_R2
126	15	GFP_R2
127	22	GFP_R2
128	18	GFP_R2
129	29	GFP_R2
130	19	GFP_R2
131	18	GFP_R2
132	17	GFP_R2
133	28	GFP_R2
134	29	GFP_R2
135	17	GFP_R2
136	17	GFP_R2
137	24	GFP_R2
138	21	GFP_R2
139	23	GFP_R2
