#bamPEFragmentSize
Size	Occurrences	Sample
24	1	CRAMP1_WT_R3
26	1	CRAMP1_WT_R3
28	1	CRAMP1_WT_R3
30	3	CRAMP1_WT_R3
31	4	CRAMP1_WT_R3
32	2	CRAMP1_WT_R3
33	6	CRAMP1_WT_R3
34	5	CRAMP1_WT_R3
35	1	CRAMP1_WT_R3
36	3	CRAMP1_WT_R3
37	6	CRAMP1_WT_R3
38	4	CRAMP1_WT_R3
39	5	CRAMP1_WT_R3
40	6	CRAMP1_WT_R3
41	13	CRAMP1_WT_R3
42	4	CRAMP1_WT_R3
43	9	CRAMP1_WT_R3
44	9	CRAMP1_WT_R3
45	8	CRAMP1_WT_R3
46	10	CRAMP1_WT_R3
47	9	CRAMP1_WT_R3
48	17	CRAMP1_WT_R3
49	9	CRAMP1_WT_R3
50	15	CRAMP1_WT_R3
51	8	CRAMP1_WT_R3
52	12	CRAMP1_WT_R3
53	12	CRAMP1_WT_R3
54	8	CRAMP1_WT_R3
55	15	CRAMP1_WT_R3
56	20	CRAMP1_WT_R3
57	15	CRAMP1_WT_R3
58	13	CRAMP1_WT_R3
59	14	CRAMP1_WT_R3
60	11	CRAMP1_WT_R3
61	14	CRAMP1_WT_R3
62	15	CRAMP1_WT_R3
63	15	CRAMP1_WT_R3
64	13	CRAMP1_WT_R3
65	10	CRAMP1_WT_R3
66	16	CRAMP1_WT_R3
67	17	CRAMP1_WT_R3
68	13	CRAMP1_WT_R3
69	17	CRAMP1_WT_R3
70	19	CRAMP1_WT_R3
71	14	CRAMP1_WT_R3
72	16	CRAMP1_WT_R3
73	23	CRAMP1_WT_R3
74	12	CRAMP1_WT_R3
75	25	CRAMP1_WT_R3
76	16	CRAMP1_WT_R3
77	15	CRAMP1_WT_R3
78	15	CRAMP1_WT_R3
79	17	CRAMP1_WT_R3
80	18	CRAMP1_WT_R3
81	8	CRAMP1_WT_R3
82	13	CRAMP1_WT_R3
83	16	CRAMP1_WT_R3
84	11	CRAMP1_WT_R3
85	16	CRAMP1_WT_R3
86	13	CRAMP1_WT_R3
87	11	CRAMP1_WT_R3
88	31	CRAMP1_WT_R3
89	13	CRAMP1_WT_R3
90	22	CRAMP1_WT_R3
91	16	CRAMP1_WT_R3
92	14	CRAMP1_WT_R3
93	13	CRAMP1_WT_R3
94	13	CRAMP1_WT_R3
95	16	CRAMP1_WT_R3
96	18	CRAMP1_WT_R3
97	14	CRAMP1_WT_R3
98	13	CRAMP1_WT_R3
99	11	CRAMP1_WT_R3
100	8	CRAMP1_WT_R3
101	18	CRAMP1_WT_R3
102	13	CRAMP1_WT_R3
103	10	CRAMP1_WT_R3
104	13	CRAMP1_WT_R3
105	14	CRAMP1_WT_R3
106	12	CRAMP1_WT_R3
107	14	CRAMP1_WT_R3
108	18	CRAMP1_WT_R3
109	19	CRAMP1_WT_R3
110	16	CRAMP1_WT_R3
111	12	CRAMP1_WT_R3
112	6	CRAMP1_WT_R3
113	10	CRAMP1_WT_R3
114	9	CRAMP1_WT_R3
115	11	CRAMP1_WT_R3
116	15	CRAMP1_WT_R3
117	11	CRAMP1_WT_R3
118	13	CRAMP1_WT_R3
119	14	CRAMP1_WT_R3
120	20	CRAMP1_WT_R3
121	12	CRAMP1_WT_R3
122	16	CRAMP1_WT_R3
123	17	CRAMP1_WT_R3
124	15	CRAMP1_WT_R3
125	8	CRAMP1_WT_R3
126	6	CRAMP1_WT_R3
127	13	CRAMP1_WT_R3
128	4	CRAMP1_WT_R3
129	9	CRAMP1_WT_R3
130	9	CRAMP1_WT_R3
131	10	CRAMP1_WT_R3
132	12	CRAMP1_WT_R3
133	9	CRAMP1_WT_R3
134	13	CRAMP1_WT_R3
135	7	CRAMP1_WT_R3
136	7	CRAMP1_WT_R3
137	5	CRAMP1_WT_R3
138	11	CRAMP1_WT_R3
139	7	CRAMP1_WT_R3
140	10	CRAMP1_WT_R3
141	8	CRAMP1_WT_R3
142	11	CRAMP1_WT_R3
143	11	CRAMP1_WT_R3
144	8	CRAMP1_WT_R3
145	14	CRAMP1_WT_R3
146	5	CRAMP1_WT_R3
147	13	CRAMP1_WT_R3
148	15	CRAMP1_WT_R3
149	8	CRAMP1_WT_R3
150	6	CRAMP1_WT_R3
151	7	CRAMP1_WT_R3
152	11	CRAMP1_WT_R3
153	13	CRAMP1_WT_R3
154	8	CRAMP1_WT_R3
155	6	CRAMP1_WT_R3
156	8	CRAMP1_WT_R3
157	8	CRAMP1_WT_R3
158	10	CRAMP1_WT_R3
159	8	CRAMP1_WT_R3
160	10	CRAMP1_WT_R3
161	5	CRAMP1_WT_R3
162	6	CRAMP1_WT_R3
163	6	CRAMP1_WT_R3
164	7	CRAMP1_WT_R3
165	9	CRAMP1_WT_R3
166	6	CRAMP1_WT_R3
167	4	CRAMP1_WT_R3
168	8	CRAMP1_WT_R3
169	5	CRAMP1_WT_R3
170	4	CRAMP1_WT_R3
171	5	CRAMP1_WT_R3
172	7	CRAMP1_WT_R3
173	4	CRAMP1_WT_R3
174	1	CRAMP1_WT_R3
175	7	CRAMP1_WT_R3
176	4	CRAMP1_WT_R3
177	4	CRAMP1_WT_R3
178	5	CRAMP1_WT_R3
179	7	CRAMP1_WT_R3
180	4	CRAMP1_WT_R3
181	6	CRAMP1_WT_R3
182	1	CRAMP1_WT_R3
183	2	CRAMP1_WT_R3
184	6	CRAMP1_WT_R3
185	4	CRAMP1_WT_R3
186	3	CRAMP1_WT_R3
187	5	CRAMP1_WT_R3
188	3	CRAMP1_WT_R3
189	4	CRAMP1_WT_R3
190	9	CRAMP1_WT_R3
191	5	CRAMP1_WT_R3
192	4	CRAMP1_WT_R3
193	1	CRAMP1_WT_R3
194	5	CRAMP1_WT_R3
195	6	CRAMP1_WT_R3
196	5	CRAMP1_WT_R3
197	3	CRAMP1_WT_R3
198	2	CRAMP1_WT_R3
199	4	CRAMP1_WT_R3
200	9	CRAMP1_WT_R3
201	4	CRAMP1_WT_R3
202	5	CRAMP1_WT_R3
203	6	CRAMP1_WT_R3
204	3	CRAMP1_WT_R3
205	5	CRAMP1_WT_R3
206	2	CRAMP1_WT_R3
207	3	CRAMP1_WT_R3
208	3	CRAMP1_WT_R3
209	3	CRAMP1_WT_R3
210	5	CRAMP1_WT_R3
